jobTitle,jobClassification,jobSubClassification,advertiserName,companyName,companyRating,listingDate,expiryDate,nation,state,city,area,suburb,workType,salary_string,isRightToWorkRequired,R,Python,Matlab,SQL,Stata,Minitab,SPSS,Ruby,C,Scala,Tableau,Java,Hadoop,SAS,Julia,Knime,D3,Clojure,Haskell,Lisp,Golang,Spark,Javascript,F.,Fortran,first_seen,last_seen,recruiter,jobType,salary,total_skills,experience
Data Scientist,Information & Communication Technology,Other,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,,,06-02-2019 16:48,08-03-2019 23:59,Australia,Western Australia,perth,"CBD, Inner & Western Suburbs",perth,Contract/Temp,,t,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,08-03-2019,1,Data Scientist,95489.71,3,4.98
Data Scientist,Information & Communication Technology,Database Development & Administration,FinXL IT Professional Services,,,06-02-2019 17:53,08-03-2019 23:59,Australia,New South Wales,sydney,North Shore & Northern Beaches,,Contract/Temp,,f,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,06-03-2019,08-03-2019,0,Data Scientist,122110.99,5,10
Data Science Management Consultant,Information & Communication Technology,Business/Systems Analysts,ParkTrail Associates,,,06-02-2019 19:55,08-03-2019 00:00,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,"$120,000 - $159,999",f,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,07-03-2019,1,Other,158722.9,8,4.75
Data Engineer - Big Data,Information & Communication Technology,Engineering - Software,iGreenData,,,25-02-2019 16:00,07-04-2019 20:15,Australia,Victoria,melbourne,CBD & Inner Suburbs,melbourne,Full Time,,f,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,0,Data Engineer,333009.18,6,5.01
Data Scientist,Information & Communication Technology,Business/Systems Analysts,FinXL IT Professional Services,,,07-02-2019 10:10,09-03-2019 23:59,Australia,New South Wales,sydney,North Shore & Northern Beaches,,Contract/Temp,,f,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,09-03-2019,0,Data Scientist,147023.15,4,3
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Ambition Technology,,,07-02-2019 11:53,09-03-2019 23:59,Australia,Victoria,melbourne,CBD & Inner Suburbs,melbourne,Full Time,Competitive remuneration ,t,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,09-03-2019,1,Data Scientist,332668.58,6,5
Senior Data Scientist,Marketing & Communications,Digital & Search Marketing,Annalect,,,07-02-2019 13:21,09-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,,f,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,09-03-2019,0,Data Scientist,166146.13,8,3
Data Analyst/Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Austcorp Executive,,,08-02-2019 10:41,10-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,$110k Package + Benefits,t,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,07-03-2019,1,Data Scientist,160826.48,6,2
Data Analyst/ Data Scientist,Government & Defence,Government - Federal,Chartertech Pty Ltd,,,08-02-2019 16:18,10-03-2019 16:18,Australia,Australian Capital Territory,canberra,,canberra,Full Time,,f,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,10-03-2019,0,Data Scientist,82553.53,6,3.18
Data Science Manager,"Mining, Resources & Energy",Management,Hatch Pty Ltd,Hatch,,08-02-2019 16:18,10-03-2019 16:18,Australia,Queensland,brisbane,CBD & Inner Suburbs,brisbane,Full Time,,f,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,10-03-2019,0,Analytics Manager,111566.84,6,4.75
